image_name,object_count,total_area
image_0,638,306803
image_1,899,352777
image_2,620,264960
image_3,548,213365
image_4,620,333570
image_5,427,293400
image_6,774,358453
image_7,558,230107
image_8,499,284752
image_9,447,267360
image_10,451,213796
image_11,405,154443
image_12,602,296949
image_13,526,302593
