image_name,object_count,total_area
image_0,596,247460
image_1,770,271274
image_2,478,191330
image_3,420,152734
image_4,518,229310
image_5,409,236611
image_6,723,283192
image_7,472,172465
image_8,476,232022
image_9,374,203779
image_10,335,153138
image_11,236,109105
image_12,553,245227
image_13,558,278458
