criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality,by_image,threshold
iou,0.1,1399,5519,484,0.7977739230991616,0.9193736465100782,0.7456092947851932,0.854268245491835,6003,6918,0.6619385136736645,0.7199885663314021,0.6150633693341084,False,0.1
iou,0.2,1422,5496,507,0.7944492627927147,0.9155422288855573,0.7402020202020202,0.8507081495240306,6003,6918,0.6613613562684804,0.7223712193740334,0.6145270833031016,False,0.2
iou,0.3,1492,5426,577,0.7843307314252674,0.9038813926370148,0.723949299533022,0.8398730748394088,6003,6918,0.6583376885572513,0.7283452164410578,0.6117175364769258,False,0.3
iou,0.4,1660,5258,745,0.760046256143394,0.8758953856405131,0.6861542476836748,0.813868895596316,6003,6918,0.648315587282856,0.7401746805741697,0.6024051498272556,False,0.4
iou,0.5,1991,4927,1076,0.7122000578201793,0.8207562885224055,0.6163372529397048,0.7626344710161752,6003,6918,0.6233563287326064,0.7594901646807055,0.5792133799832576,False,0.5
iou,0.6,2363,4555,1448,0.6584272911246025,0.7587872730301516,0.5444656944776476,0.70505378840647,6003,6918,0.5892386575470403,0.776553163832027,0.5475117500588008,False,0.6
iou,0.7,3144,3774,2229,0.5455333911535126,0.6286856571714143,0.4125942932108888,0.584165312282331,6003,6918,0.5035357725495162,0.8009340865433879,0.4678779107831818,False,0.7
iou,0.8,4983,1935,4068,0.279705117085863,0.32233883058470764,0.17613326051338066,0.299512421639192,6003,6918,0.272161484082381,0.8443335343392936,0.25288838154113974,False,0.8
iou,0.9,6803,115,5888,0.01662330153223475,0.019157088122605363,0.008980165547399657,0.01780047983902175,6003,6918,0.017491648619361228,0.9130640579306561,0.016252978354930028,False,0.9
