image_name,object_count,total_area
image_0,622,275126
image_1,848,324812
image_2,557,230782
image_3,499,187932
image_4,582,272027
image_5,419,251574
image_6,757,323206
image_7,572,220155
image_8,503,264950
image_9,408,243634
image_10,371,178641
image_11,282,112287
image_12,573,268546
image_13,522,270396
