image_index,object_count,total_area
456,129,12441
457,101,17131
458,8,1616
459,66,6576
460,81,15822
461,140,26255
462,109,20635
463,115,24304
464,119,27941
465,120,26634
466,149,30839
467,152,30781
468,74,9459
469,94,13177
470,117,15715
471,101,15379
472,81,15361
473,102,18105
474,77,14613
475,82,13822
476,62,14243
477,49,11649
478,57,8853
479,43,10207
480,86,21250
481,65,16438
482,47,8605
483,48,15037
484,46,15798
485,66,17971
486,27,14416
487,27,8870
488,108,28147
489,40,10058
490,114,25474
491,35,9821
492,68,7810
493,103,13626
494,34,2933
495,105,13911
496,34,6793
497,44,10269
498,57,12189
499,75,21479
500,56,5395
501,0,0
502,128,22021
503,87,18562
504,64,19813
505,9,3221
506,15,3517
507,5,454
508,146,11903
509,18,1541
510,133,11241
511,62,4224
512,60,24899
513,88,23673
514,45,20636
515,55,21407
516,101,11296
517,93,20720
518,64,15707
519,67,22507
520,32,8800
521,130,29926
522,10,2155
523,85,23208
524,66,12345
525,67,14636
526,61,13960
527,45,7332
528,128,19112
529,107,14366
530,120,18334
531,89,24870
532,105,26824
533,96,25404
534,87,24244
535,3,477
536,28,7126
537,40,8779
538,63,21780
539,66,17874
540,75,21537
541,84,13790
542,51,7255
543,75,18726
544,102,22973
545,60,17734
546,77,19561
547,55,20680
548,99,26759
549,124,27061
550,99,20952
551,99,26551
552,68,16988
553,110,18561
554,114,29802
555,83,11964
556,137,35934
557,103,19381
558,97,22491
559,107,34114
560,97,28934
561,116,27341
562,74,18999
563,95,27837
564,78,22158
565,72,16605
566,66,16032
567,86,14562
568,83,11193
569,54,21013
570,6,11162
571,70,26810
572,97,26775
573,93,8779
574,36,4435
575,113,34006
576,110,27656
577,76,12905
578,82,12282
579,80,24023
580,14,12873
581,91,27781
582,51,26715
583,108,34113
584,79,20235
585,126,16607
586,103,26632
587,115,14883
588,105,25850
589,83,23804
590,59,19029
591,89,24443
592,83,29774
593,72,12418
594,53,9039
595,80,30189
596,81,20928
597,106,19930
598,89,26777
599,89,12273
600,98,24098
601,92,19518
602,81,11619
603,89,20052
604,110,14077
605,45,17633
606,74,26992
607,41,8081
608,35,3799
609,104,25475
610,77,23494
611,105,23292
612,80,23229
613,61,15040
614,49,11397
615,81,19647
616,67,15279
617,96,32860
618,116,31008
619,101,34634
620,104,33587
621,37,4192
622,97,21741
623,71,12480
624,60,11732
625,39,7421
626,81,22436
627,68,19577
628,80,29375
629,59,19132
630,93,24566
631,86,18700
632,79,11795
633,122,34389
634,110,31131
635,138,44650
636,132,40840
637,131,42889
638,103,29459
639,129,37182
640,115,35363
641,108,35552
642,139,41880
643,113,34382
644,125,38412
645,126,34558
646,138,39685
647,145,44520
648,156,47649
649,119,32187
650,133,34783
651,78,22089
652,138,28667
653,134,39913
654,132,36362
655,134,42197
656,122,29928
657,132,39882
658,149,41570
659,131,40952
660,172,46874
661,114,31399
662,105,30064
663,105,27805
664,68,20520
665,42,9375
666,103,24250
667,101,26812
668,118,28592
669,14,3703
670,44,12053
671,13,2994
672,136,36808
673,147,45405
674,146,42480
675,152,44889
676,143,40585
677,155,45323
678,141,42692
679,142,39955
680,122,34097
681,115,34008
682,123,37151
683,115,34830
684,137,37899
685,129,35733
686,130,37960
687,138,38677
688,129,34293
689,59,15492
690,105,23669
691,73,17368
692,123,37729
693,145,44411
694,129,41646
695,127,42000
696,126,35024
697,130,30956
698,126,33749
699,112,24056
700,129,35259
701,125,36821
702,142,43640
703,122,35059
704,105,31923
705,104,33248
706,100,32346
707,88,27145
708,135,42177
709,133,39542
710,160,48199
711,133,39230
712,149,46558
713,151,47168
714,147,43898
715,139,40836
716,17,4055
717,79,21298
718,115,27277
719,114,31684
720,111,37296
721,134,41352
722,130,35978
723,110,30898
724,10,2292
725,20,5123
726,13,3380
727,141,37822
728,124,33672
729,135,32955
730,155,40154
731,110,26004
732,137,32750
733,122,32294
734,136,34169
735,152,32974
736,125,31902
737,129,32022
738,119,30820
739,145,37876
740,152,36130
741,145,44993
742,147,44223
743,54,11513
744,81,18517
745,12,4723
746,129,35654
747,88,18617
748,94,25878
749,117,31168
750,114,33338
751,80,24924
752,79,20866
753,34,10322
754,135,37862
755,121,32082
756,123,37524
757,117,32274
758,145,44103
759,126,32954
760,110,30602
761,83,24924
762,125,40451
763,129,37326
764,128,40637
765,112,35500
766,140,41060
767,136,36731
768,146,47175
769,131,42173
770,126,26960
771,124,30972
772,111,30088
773,119,31201
774,117,32781
775,89,21789
776,79,18369
777,67,17539
778,131,42000
779,147,45255
780,101,32148
781,117,36679
782,126,36439
783,140,45460
784,138,39908
785,139,42633
786,129,38016
787,120,38429
788,122,35156
789,147,42895
790,138,36054
791,130,33511
792,119,30255
793,124,30271
794,112,34706
795,112,35589
796,107,33225
797,127,40831
798,96,26552
799,57,16718
800,76,22670
801,32,14625
802,203,36513
803,192,35071
804,185,34941
805,189,33046
806,220,35334
807,267,37480
808,234,37248
809,254,39763
810,106,25122
811,106,26184
812,105,26210
813,143,40445
814,250,34991
815,72,8076
816,216,29051
817,100,12383
818,210,31976
819,195,31638
820,211,31701
821,212,32596
822,137,31819
823,55,17712
824,87,27809
825,71,14053
826,206,31966
827,254,37914
828,234,37564
829,252,35234
830,180,32258
831,93,13584
832,186,34369
833,80,15072
834,190,26595
835,210,31857
836,196,26689
837,199,28163
838,197,30660
839,188,26173
840,193,24385
841,178,17561
842,112,22190
843,166,30496
844,192,29029
845,142,22775
846,164,29009
847,174,25689
848,184,31413
849,170,30918
850,73,11708
851,59,7514
852,47,6826
853,38,7465
854,147,25176
855,94,14914
856,72,9161
857,49,6871
858,165,34478
859,123,20122
860,83,22081
861,39,11653
862,98,22323
863,91,18304
864,103,20637
865,85,18753
866,91,23640
867,92,21004
868,87,20753
869,92,19375
870,90,16799
871,24,5227
872,81,17046
873,23,5126
874,81,18859
875,87,19093
876,95,21929
877,92,18853
878,99,24313
879,85,20076
880,105,22833
881,92,21937
882,99,18446
883,26,4708
884,73,13175
885,25,4927
886,82,17725
887,25,5192
888,83,20374
889,27,4204
890,80,21725
891,81,24346
892,85,21286
893,80,20395
894,103,20766
895,103,21905
896,102,22649
897,77,15239
898,79,14795
899,80,18096
900,86,18148
901,99,20729
902,95,22241
903,91,20388
904,98,21619
905,87,20727
906,87,26228
907,86,22438
908,97,20052
909,85,20072
910,89,18976
911,71,13231
912,110,23779
913,96,23880
914,88,23370
915,81,20412
916,83,20436
917,82,15915
918,94,23414
919,21,4723
920,89,21335
921,16,4250
922,63,13793
923,90,20248
924,88,19653
925,79,18808
926,87,20459
927,85,20774
928,97,21079
929,89,21771
930,81,19586
931,69,16249
932,86,21842
933,65,14823
934,98,26425
935,82,20378
936,85,19314
937,81,17484
938,7,1347
939,9,2123
940,18,3646
941,66,11709
942,27,5944
943,85,15987
944,20,3057
945,105,20945
946,116,25163
947,90,18930
948,93,20862
949,40,9093
950,78,20042
951,68,14919
952,93,20782
953,83,18366
954,22,3342
955,82,14261
956,17,2896
957,81,21014
958,34,7863
959,49,12052
960,31,7310
961,86,18609
962,84,18535
963,93,23732
964,85,20061
965,83,19334
966,26,6460
967,87,21068
968,30,6744
969,85,18534
970,87,18090
971,83,17926
972,75,19519
973,81,20151
974,89,21839
975,98,19294
976,88,20631
977,24,5488
978,93,21725
979,31,6304
980,94,20631
981,96,21754
982,92,22862
983,89,19782
984,105,26204
985,79,18432
986,27,6353
987,84,21570
988,30,5287
989,44,12067
990,23,6712
991,67,17345
992,25,5547
993,11,1085
994,3,781
995,7,1661
996,7,753
997,5,739
998,57,15402
999,5,615
1000,45,11194
1001,14,2776
