tau,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality,by_image
0.1,iou,0.1,1841,5674,440,0.7550232867598137,0.9280340202813215,0.713262099308611,0.8326362902634089,6114,7515,0.6683454404362362,0.7201734266526522,0.5996425303143516,False
0.2,iou,0.2,1868,5647,467,0.7514304723885562,0.9236179260713118,0.7074668003006765,0.8286741507080491,6114,7515,0.6676226195690091,0.7228341944474804,0.5989940121865026,False
0.3,iou,0.3,1945,5570,544,0.7411842980705257,0.911023879620543,0.6911527484799603,0.8173747156798005,6114,7515,0.6643615163616546,0.729247093543116,0.5960681357451253,False
0.4,iou,0.4,2084,5431,683,0.7226879574184963,0.8882891723912333,0.6624786533300805,0.7969770342651699,6114,7515,0.6561578657645044,0.7386759696711802,0.5887077835914858,False
0.5,iou,0.5,2461,5054,1060,0.672521623419827,0.826627412495911,0.5893877551020408,0.7416538263995891,6114,7515,0.6280900445450822,0.7598224242874224,0.563525208356979,False
0.6,iou,0.6,2849,4666,1448,0.6208915502328676,0.7631665031076218,0.5205846256833649,0.6847164135299728,6114,7515,0.5931907581432918,0.7772756740866023,0.5322134118846703,False
0.7,iou,0.7,3624,3891,2223,0.5177644710578843,0.6364082433758587,0.39956869993838573,0.5709883337001981,6114,7515,0.5099064830396938,0.8012254529181926,0.4574903862799453,False
0.8,iou,0.8,5534,1981,4133,0.26360612109115106,0.32401046777886816,0.1700721153846154,0.29070364663585,6114,7515,0.2735281149702287,0.8441953028409785,0.24541065300872822,False
0.9,iou,0.9,7415,100,6014,0.01330671989354624,0.016355904481517827,0.007391529307413704,0.014674590945777386,6114,7515,0.014929095943027904,0.9127649259567261,0.01339445191806774,False
