image_index,object_count,total_area
0,610,264934
1,808,299502
2,344,167374
3,239,96061
4,541,245458
5,446,225455
6,524,226246
7,439,172365
8,492,219332
9,341,213680
10,720,281525
11,470,182939
12,467,253827
13,364,224087
