tau,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality,by_image
0.1,iou,0.1,1462,5860,143,0.8003277792952745,0.9761785773779776,0.7849966510381782,0.8795497185741088,6003,7322,0.7057486856140615,0.7229708805019132,0.6358888344827334,False
0.2,iou,0.2,1476,5846,157,0.7984157334061732,0.9738464101282692,0.7816553015108971,0.8774484052532833,6003,7322,0.7053737459273293,0.7243172420119326,0.6355510089008267,False
0.3,iou,0.3,1534,5788,215,0.7904944004370391,0.9641845743794769,0.7679448056255804,0.8687429643527205,6003,7322,0.7029003732386736,0.7290101832328538,0.6333224676250293,False
0.4,iou,0.4,1676,5646,357,0.771100792133297,0.9405297351324338,0.7352519859356688,0.8474296435272045,6003,7322,0.6944082076800142,0.7383160592814604,0.6256709149272983,False
0.5,iou,0.5,2041,5281,722,0.7212510243102978,0.8797268032650342,0.6565141720537047,0.7926454033771106,6003,7322,0.6668570088124883,0.7580273857037242,0.6008469229120251,False
0.6,iou,0.6,2453,4869,1134,0.6649822452881726,0.8110944527736131,0.5758041627246925,0.7308067542213884,6003,7322,0.6289798724498428,0.7754705636303977,0.5667191256009615,False
0.7,iou,0.7,3298,4024,1979,0.5495766184102704,0.6703315009162085,0.4326416514353295,0.6039774859287055,6003,7322,0.5364898981580174,0.8003352034400045,0.48338444407393294,False
0.8,iou,0.8,5316,2006,3997,0.27396886096694895,0.3341662502082292,0.17722413640780987,0.3010881801125704,6003,7322,0.2824364801496143,0.8451975026610842,0.25447897791191515,False
0.9,iou,0.9,7212,110,5893,0.015023217700081944,0.018324171247709478,0.00832387438516837,0.01651031894934334,6003,7322,0.01674232547648168,0.9136743621392683,0.015085055134757152,False
