image_name,object_count,total_area
image_0,715,240709
image_1,839,266454
image_2,601,210005
image_3,509,173844
image_4,620,226744
image_5,464,238151
image_6,801,251292
image_7,565,162042
image_8,598,240576
image_9,436,216318
image_10,380,163432
image_11,309,130962
image_12,647,230881
image_13,564,231446
