image_name,object_count,total_area
image_0,669,239708
image_1,844,280244
image_2,595,243527
image_3,496,196000
image_4,584,235228
image_5,429,220415
image_6,759,241438
image_7,520,163217
image_8,557,250254
image_9,419,241098
image_10,368,171362
image_11,300,153402
image_12,641,248787
image_13,536,229110
