tau,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality,by_image
0.1,iou,0.1,1185,5623,491,0.825940070505288,0.9196925089957475,0.7703795040416496,0.8702987153691379,6114,6808,0.6795731863633924,0.7389134734884903,0.6430754467459807,False
0.2,iou,0.2,1211,5597,517,0.8221210340775558,0.9154399738305529,0.7640955631399318,0.8662745704999226,6114,6808,0.6789048593887365,0.7416159210832114,0.6424430135122635,False
0.3,iou,0.3,1255,5553,561,0.8156580493537016,0.908243375858685,0.7535622201112769,0.859464479182789,6114,6808,0.6770414203298143,0.7454405265435773,0.6406796539075197,False
0.4,iou,0.4,1381,5427,687,0.7971504112808461,0.8876349362119725,0.724082721814543,0.839962854047361,6114,6808,0.6696062796171249,0.7543712536537869,0.6336438312303206,False
0.5,iou,0.5,1703,5105,1009,0.7498531139835488,0.8349689237814851,0.653063835230907,0.7901253675901563,6114,6808,0.6455738815092986,0.7731711481974244,0.6109021376795932,False
0.6,iou,0.6,2019,4789,1325,0.7034371327849589,0.7832842656198887,0.588835608016722,0.7412165299489243,6114,6808,0.617000571098989,0.7877096453746542,0.5838634099518989,False
0.7,iou,0.7,2675,4133,1981,0.6070799059929495,0.6759895322211318,0.4702468995335078,0.6396842594025692,6114,6808,0.5464222314976226,0.8083294273836111,0.5170756111091882,False
0.8,iou,0.8,4461,2347,3767,0.3447414806110458,0.3838730781812234,0.22193853427895982,0.36325646184801114,6114,6808,0.324915720272345,0.8464144498274893,0.3074655183013647,False
0.9,iou,0.9,6646,162,5952,0.02379553466509988,0.02649656526005888,0.012695924764890282,0.02507351803126451,6114,6808,0.024195438902246277,0.9131537867181095,0.022895977936593984,False
