image_index,object_count,total_area
456,111,19383
457,115,25677
458,12,2395
459,63,9870
460,97,26539
461,158,35807
462,129,31643
463,143,34157
464,156,36559
465,129,32272
466,203,42419
467,186,40011
468,69,13702
469,101,19306
470,115,22087
471,101,21295
472,82,24410
473,105,28656
474,71,22941
475,80,22555
476,84,22046
477,104,27219
478,49,14621
479,48,14380
480,132,30922
481,101,25343
482,92,19602
483,106,22348
484,87,25210
485,92,27085
486,57,20330
487,75,22060
488,196,41181
489,66,16077
490,155,35848
491,50,14652
492,66,11873
493,100,18996
494,34,4814
495,106,19207
496,35,13341
497,52,19287
498,65,20292
499,108,31815
500,51,9069
501,6,4707
502,147,32635
503,103,27305
504,2,267
505,92,28822
506,19,4974
507,22,4914
508,4,752
509,122,18485
510,16,3956
511,110,17483
512,48,6223
513,96,32499
514,119,35338
515,81,30562
516,71,33228
517,100,18624
518,111,28857
519,85,23636
520,107,31486
521,37,10953
522,7,1573
523,161,38861
524,15,3666
525,102,34013
526,80,18683
527,71,23998
528,64,22888
529,48,9197
530,136,26421
531,101,18685
532,119,25226
533,107,34614
534,113,37759
535,103,35201
536,98,33796
537,5,1305
538,32,11021
539,3,1425
540,31,12560
541,85,30063
542,87,29455
543,90,30520
544,79,19199
545,59,12717
546,97,25870
547,116,30977
548,58,18515
549,83,22340
550,106,23709
551,127,33510
552,148,33758
553,105,27173
554,137,34334
555,78,18752
556,110,26518
557,152,36825
558,89,20331
559,229,44649
560,124,27076
561,138,30899
562,177,42331
563,165,35943
564,157,35800
565,75,19816
566,156,34761
567,106,26198
568,68,21513
569,71,20294
570,106,20764
571,94,18195
572,111,36836
573,88,22053
574,102,35279
575,124,35469
576,86,14356
577,45,7345
578,192,41539
579,147,33728
580,65,17916
581,79,19456
582,94,26932
583,92,19938
584,136,35235
585,108,31453
586,156,40253
587,109,29308
588,115,26028
589,177,37530
590,106,23795
591,138,34509
592,106,32132
593,67,16871
594,125,35415
595,123,36793
596,60,19886
597,65,23082
598,170,40859
599,91,27578
600,131,27488
601,140,32029
602,77,18280
603,166,33527
604,106,24283
605,87,17680
606,108,28371
607,103,23081
608,109,35654
609,132,36127
610,52,12713
611,28,8088
612,161,35672
613,94,22731
614,140,31973
615,119,26329
616,70,18258
617,57,12417
618,90,24333
619,67,18127
620,230,47870
621,155,38406
622,262,47925
623,249,51608
624,40,9371
625,115,30964
626,75,15724
627,66,17947
628,39,15953
629,97,32269
630,85,28969
631,108,32865
632,76,21811
633,121,32477
634,129,29153
635,77,18978
636,131,41196
637,122,39499
638,160,44032
639,162,42900
640,148,45003
641,117,38811
642,144,42581
643,125,42580
644,120,40944
645,154,44092
646,126,39924
647,146,42768
648,141,41028
649,158,44054
650,165,43741
651,189,45811
652,130,38305
653,156,41398
654,88,29656
655,145,36518
656,139,43593
657,149,40583
658,157,44385
659,128,37807
660,144,44630
661,169,45546
662,153,44848
663,205,46021
664,133,39202
665,121,37062
666,111,35813
667,79,25287
668,46,12117
669,114,32140
670,112,33379
671,129,37016
672,17,4914
673,49,15720
674,19,4987
675,157,43112
676,184,44281
677,181,42988
678,180,46512
679,160,43571
680,181,45140
681,155,44953
682,162,42357
683,136,41127
684,135,41249
685,133,41676
686,125,40995
687,148,43380
688,136,42828
689,149,42128
690,154,43711
691,148,40165
692,69,20870
693,102,30864
694,82,23802
695,144,42935
696,159,44082
697,154,42577
698,150,44446
699,139,41199
700,141,37225
701,140,39177
702,117,30699
703,141,40968
704,152,42250
705,167,46676
706,150,40324
707,118,40422
708,113,40508
709,115,39408
710,87,32422
711,149,44603
712,147,43617
713,176,45639
714,148,43970
715,175,45377
716,169,46671
717,170,44161
718,159,43767
719,18,5906
720,93,27678
721,131,34525
722,119,37986
723,121,41765
724,148,44563
725,140,42260
726,126,38501
727,12,2664
728,26,6959
729,14,3798
730,157,43907
731,136,41136
732,161,40416
733,173,43555
734,125,33200
735,156,39018
736,154,36484
737,157,40210
